Geography,Canada,Canada,Canada,Canada,Canada,Canada,Quebec,Quebec,Quebec,Quebec,Quebec,Quebec,Ontario 10,Ontario 11,Ontario 12,Ontario 13,Ontario 14,Ontario 15,Alberta 11,Alberta 12,Alberta 13,Alberta 14,Alberta 15,Alberta 16,British Columbia 12,British Columbia 13,British Columbia 14,British Columbia 15,British Columbia 16,British Columbia 17
International Standard Classification of Education (ISCED) 7,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,,"Total, International Standard Classification of Education (ISCED)",,Master's or equivalent,,Doctoral or equivalent,
Fall School Year ,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022,2020 / 2021,2021 / 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland  [23352],30,33,6,3,6,9,3,6,..,..,3,3,15,9,3,3,0,3,3,0,3,0,..,..,9,15,3,3,3,3
Ireland  [23372],189,261,66,69,21,18,15,27,3,3,6,6,123,144,57,48,6,6,12,18,3,6,0,3,30,48,3,9,3,6
Northern Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway  [23578],90,126,12,18,6,6,12,9,0,0,..,0,36,48,3,6,3,3,6,9,..,..,3,3,27,42,3,0,..,..
Sark  [23680],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Scotland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Svalbard and Jan Mayen  [23744],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sweden  [23752],135,264,18,12,9,9,30,63,6,6,3,6,51,108,9,3,6,3,12,21,3,3,..,..,30,57,..,3,0,0
United Kingdom  [23826],"1,275","1,779",198,219,207,228,228,291,21,33,48,60,456,708,87,93,54,54,117,156,21,18,18,21,360,483,45,57,60,69
Guernsey  [23831],3,3,0,0,3,3,..,..,..,..,..,..,3,0,..,..,..,..,..,..,..,..,..,..,0,0,0,0,3,3
Jersey  [23832],..,0,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,0,..,..,..,..,..,..
Isle of Man  [23833],0,0,..,..,..,3,..,..,..,..,..,..,0,0,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..,..
Wales,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania  [24008],300,231,24,18,6,6,27,21,6,6,6,6,210,150,12,6,3,3,12,12,3,0,..,..,12,9,..,0,..,..
Andorra  [24020],3,3,0,..,3,3,3,3,..,..,3,3,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
